Date,Value,Variable,Units,Quality,Site
2021-02-04,15.733333333333333,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-05,19.20555555555556,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-06,22.061111111111106,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-07,20.007407407407406,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-08,17.672222222222224,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-09,9.916666666666666,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-10,12.514814814814814,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-11,17.33333333333333,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-12,13.196296296296294,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-13,12.533333333333335,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-14,14.718518518518518,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-15,11.783333333333335,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-16,13.303703703703702,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-17,14.440740740740743,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-18,14.948148148148148,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-19,18.55740740740741,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-20,15.714814814814815,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-21,17.048148148148147,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-22,20.674074074074067,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-23,22.812962962962963,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-24,21.020370370370365,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-25,15.875925925925921,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-26,20.062962962962963,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-27,16.785185185185185,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-28,15.505555555555553,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-01,18.08703703703704,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-02,20.601851851851848,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-03,10.385185185185183,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-04,14.462962962962962,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-05,21.801851851851854,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-06,17.109259259259254,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-07,13.951851851851854,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-08,13.996296296296297,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-09,12.720370370370372,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-10,9.872222222222225,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-11,9.17222222222222,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-12,9.025925925925927,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-13,11.612962962962964,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-14,10.81851851851852,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-15,9.761111111111111,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-16,9.868518518518515,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-17,15.438888888888888,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-18,18.116666666666667,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-19,19.761111111111106,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-20,14.607407407407404,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-21,16.261111111111113,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-22,16.79814814814815,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-23,14.344444444444443,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-24,18.125925925925927,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-25,13.364814814814817,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-26,14.277777777777775,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-27,21.22222222222222,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-28,25.92407407407408,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-29,25.433333333333334,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-30,23.388888888888896,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-03-31,24.796296296296298,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-01,25.9962962962963,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-02,23.438888888888886,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-03,25.12222222222222,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-04,25.840740740740742,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-05,22.44629629629629,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-06,18.95740740740741,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-07,24.238888888888887,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-08,22.120370370370367,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-09,22.346296296296302,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-10,22.1537037037037,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-11,21.024074074074075,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-12,15.99074074074074,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-13,13.105555555555558,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-14,14.792592592592591,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-15,15.551851851851852,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-16,19.86111111111111,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-17,20.785185185185192,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-18,24.85925925925926,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-19,27.70555555555556,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-20,24.825925925925926,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-21,15.175925925925924,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-22,13.696296296296298,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-23,15.075925925925922,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-24,16.616666666666664,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-25,16.209259259259262,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-26,13.474074074074073,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-27,14.63703703703704,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-28,25.425925925925924,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-29,30.748148148148136,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-04-30,32.666666666666664,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-01,27.942592592592593,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-02,15.799999999999999,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-03,27.25,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-04,28.62407407407407,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-05,30.416666666666668,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-06,24.21111111111111,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-07,20.729629629629628,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-08,20.737037037037037,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-09,17.90740740740741,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-10,16.212962962962965,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-11,20.77777777777777,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-12,25.640740740740732,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-13,23.54259259259259,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-14,19.659259259259258,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-15,18.216666666666672,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-16,15.379629629629632,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-17,15.68333333333333,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-18,19.966666666666665,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-19,21.494444444444444,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-20,18.103703703703697,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-21,17.300000000000004,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-22,16.327777777777783,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-23,21.075925925925926,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-24,29.59814814814814,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-25,29.95370370370371,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-26,27.124074074074073,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-27,21.925925925925927,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-28,23.94074074074074,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-29,20.816666666666666,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-30,21.201851851851856,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-05-31,24.357407407407408,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-01,29.257407407407413,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-02,30.06296296296297,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-03,30.305555555555557,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-04,29.16111111111111,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-05,26.23703703703704,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-06,22.437037037037037,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-07,18.42592592592593,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-08,19.259259259259263,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-09,24.21666666666667,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-10,22.203703703703706,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-11,26.11296296296296,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-12,29.894444444444446,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-13,30.02407407407408,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-14,33.74814814814815,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-15,36.338888888888896,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-16,35.599999999999994,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-17,34.699999999999996,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-18,29.48333333333333,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-19,31.172222222222224,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-20,31.20925925925926,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-21,30.06481481481482,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-22,28.081481481481482,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-23,27.16296296296296,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-24,25.961111111111116,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-25,27.82962962962963,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-26,30.118518518518513,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-27,34.95740740740741,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-28,34.220370370370375,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-29,28.014814814814812,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-06-30,30.07222222222222,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-01,30.962962962962965,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-02,32.98518518518519,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-03,32.522222222222226,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-04,29.533333333333328,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-05,30.820370370370377,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-06,30.900000000000002,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-07,32.29999999999999,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-08,35.25185185185185,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-09,30.27592592592593,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-10,33.025925925925925,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-11,32.331481481481475,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-12,31.485185185185188,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-13,34.388888888888886,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-14,32.43703703703704,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-15,31.22222222222222,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-16,30.631481481481476,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-17,31.327777777777776,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-18,33.77407407407408,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-19,32.69074074074073,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-20,32.15925925925926,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-21,33.80185185185184,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-22,31.968518518518522,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-23,31.144444444444446,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-24,28.159259259259258,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-25,28.203703703703702,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-26,25.92592592592593,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-27,31.814814814814813,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-28,32.51666666666668,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-29,33.407407407407405,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-30,33.86851851851851,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-07-31,33.62222222222222,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-01,32.68888888888888,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-02,34.81481481481482,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-03,35.02962962962963,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-04,34.833333333333336,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-05,35.39074074074074,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-06,32.58333333333333,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-07,31.096296296296284,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-08,28.994444444444444,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-09,29.837037037037035,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-10,32.431481481481484,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-11,32.803703703703704,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-12,31.946296296296296,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-13,30.91851851851853,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-14,29.366666666666667,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-15,32.85740740740741,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-08-16,33.096296296296295,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
