Parameter,CAS,Type,Group,MW,MIR,note,A,B,E/R(K-1),Ea(J/mol),k(T),T,Reference,note2
Bis(2-chloroethyl) ether,111-44-4,Megamix,Halogenatic,143.012,1.5,based on methoxy methyl butanol plus chloros,,,,,7.60E-12,298,2010DAL/TAC1749-1753,
Butyraldehyde,123-72-8,Carbonyls,Aldehyde,72.11,5.97,,6.00E-12,,,-3410,2.38E-11,298,2001ATK/BAU1-56,
Carbon Tetrachloride,56-23-5,Combined,Halogenatic,153.82,0,,1.00E-12,,,18790,5.35E-16,300,2001ATK/BAU1-56,
Chloroform,67-66-3,Combined,Halogenatic,119.38,0.022,,9.30E-13,,,5490,1.02E-13,298,2001ATK/BAU1-56,
Cyclohexanone,108-94-1,Carbonyls,Ketone,98.14,1.35,,5.35E-12,,,,5.35E-12,298,"	2011ASC/ARE14452-14461",
Decamethylcyclopentasiloxane,541-02-6,Siloxanes,Siloxane,370.7697,-0.069,in MIR10,1.53E-11,,,4300,2.93E-12,313,10.1002/kin.20919,
Dibenzofuran,132-64-9,Megamix,Aromatic,194.184,4,based on furan and naphthalene,3.50E-12,,,,3.50E-12,297,1998BRU/HIT915-921,
Dichlorodifluoromethane,,Combined,Halogenatic,120.91,0,fully halogenated,1.00E-12,,,29930,6.15E-18,300,1997DEM/SAN1-266,
Dichloromethane,75-09-2,Combined,Halogenatic,84.93,0.041,,2.70E-12,,,7560,1.23E-13,298,"	2001ATK/BAU1-56",
Diethylphthalate,84-66-2,Megamix,Ester,222.24,1.62,,,,,,9.00E-12,,EPA,
Dimethylphthalate,131-11-3,Megamix,Ester,194.18,1.8,based on dimethyl and dibutyl phthalate,,,,,6.00E-12,,EPA,
"Ethane, 1,1,1,2-tetrachloro-",630-20-6,Combined,Halogenatic,167.849,0,close to 0 since 4/6ths halogenated,3.35E-12,1.21,,12890,1.85E-14,298,1993JIA/TAY5050-5053,
"Ethane, 1,1,1-trichloro-",,Combined,Halogenatic,133.4,0.0049,,1.20E-12,,,11970,9.56E-15,298,"	2001ATK/BAU1-56",
"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",76-13-1,Combined,Halogenatic,187.37,0,,,,,,3.01E-16,298,,
"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-",,Combined,Halogenatic,170.92,0,fully halogenated,,,,,5.00E-16,298,"	1976HOW/EVE4303",upper limit
Ethanol,,Alcohols,Hydroxyl,46.07,1.53,,4.10E-12,,,580,3.24E-12,298,,
Ethylbenzene,,Combined,Aromatic,106.17,6.57,,7.51E-12,0,0,0,,,,
Formaldehyde,,Carbonyls,Aldehyde,30.03,9.46,,3.58E-12,1,-287,-2386.118,,,,
Heptane,,Combined,Alkane,110.2,1.07,,1.73E-12,2,-407,-3383.798,,,,
Hexaldehyde,,Carbonyls,Aldehyde,100.16,4.35,,4.20E-12,,,-4700,2.80E-11,298,"	2007JIM/LAN1565-1574",
Isobutane,,Hydros,Alkane,58.12,1.23,,1.04E-12,2,-213,-1770.882,,,,
Isopentane,,Hydros,Alkane,72.15,1.45,,3.60E-12,0,0,0,,,,
Isophorone,78-59-1,Megamix,Ketone,138.21,4.63,,,,,,7.69E-11,,,
Isopropanol,67-63-0,Alcohols,Hydroxyl,60.1,0.61,,2.71E-12,,,-1580,5.12E-12,298,,
Isopropylbenzene,,Combined,Aromatic,120.19,2.52,,6.61E-12,0,0,0,,,,
Isovaleraldehyde,590-86-3,Carbonyls,Aldehyde,86.13,4.97,,5.80E-12,,,-4150,3.09E-11,298,,
Limonene,138-86-3,Terpenes,Terpene,136.23,4.55,,4.20E-11,,,-3330,1.61E-10,298,"	2002GIL/HIT2538-2544",
"Methane, bromodichloro-",75-27-4,Combined,Halogenatic,163.83,0.05,based on dibromoethane and chloroform,9.40E-13,,,4270,1.68E-13,298,2013ORK/KHA3809-3818,
"Methane, dibromochloro-",124-48-1,Combined,Halogenatic,208.28,0.05,based on dibromoethane and chloroform,9.00E-13,,,3520,2.18E-13,298,"	2013ORK/KHA3809-3818",
"Methane, tribromo-",75-25-2,Combined,Halogenatic,252.73,0.05,based on dibromoethane and chloroform,9.94E-13,,,3220,2.71E-13,298,2013ORK/KHA3809-3818,
Methanol,67-56-1,Alcohols,Hydroxyl,32.04,0.67,,3.11E-12,,,2990,9.28E-13,298,1997ATK/BAU521-1011,
Methyl acetate,79-20-9,Extras,Ester,74.08,0.072,,5.30E-13,,,1060,3.45E-13,298,1996ELB/LEC12364-12368,
N-Butane,106-97-8,Hydros,Alkane,58.12,1.15,,1.61E-12,2,,-950,2.36E-12,298,2003ATK2233-2307,
N-Nitroso-di-N-propylamine,621-64-7,Megamix,Amine,130.1882,2,tough to find comparisons,,,,,1.98E-12,,EPA,
N-Nitrosodimethylamine,62-75-9,Megamix,Amine,74.0818,2,tough to find comparisons,3.01E-12,,,,3.01E-12,298,,
Naphthalene,91-20-3,Combined,Alkene,128.17,3.34,,1.05E-12,,,-7500,2.17E-11,298,,
Octamethylcyclotetrasiloxane,556-67-2,Siloxanes,Siloxane,296.6158,-0.058,in MIR10,1.80E-11,,,6780,1.16E-12,298,2018BER/PAP4252-4264,
Parachlorobenzotrifluoride,98-56-6,Extras,Halogenatic,180.555,0.1,highly halogenated,,,,,2.40E-13,,EPA,
N-Pentane,,Hydros,Alkane,72.15,1.31,,2.24E-12,2,-158,-1313.612,,,,
Phenol,108-95-2,Megamix,Hydroxyl,94.11,2.76,,3.70E-13,,,-10560,2.52E-11,301,1995SEM/STO287-304,
"Phenol, 2,4-dimethyl-",105-67-9,Megamix,Hydroxyl,122.16,2.12,,,,,,7.38E-11,295,2004THU/BAR11019-11025,
"Phenol, 2-nitro-",88-75-5,Megamix,Nitro,139.11,1,based on phenol and nitrobenzene,,,,,9.00E-13,,EPA,
Phenylacetaldehyde,122-78-1,Fragrances,Aldehyde,120.15,4,,,,,,2.76E-11,,EPA,
"Propane, 1,2,3-trichloro-",96-18-4,Combined,Halogenatic,147.431,0.2,based on dichloropropane,,,,,3.92E-13,,EPA,
"Propane, 1,2-dichloro-",78-87-5,Combined,Halogenatic,112.99,0.29,,2.10E-12,,,3770,4.59E-13,298,2001YUJ/MEL2614-2617,
Propionaldehyde,123-38-6,Carbonyls,Aldehyde,58.08,7.08,,5.10E-12,,,-3370,1.99E-11,298,2001ATK/BAU1-56,
Propylene,,Hydros,Alkene,42.08,11.66,,4.85E-12,0,-504,-4190.256,,,,
Styrene,,Combined,Alkene,104.15,1.73,,5.86E-11,0,0,0,,,,
Tetrachloroethene,127-18-4,Combined,Halogenatic,165.83,0.031,,9.40E-12,,,9980,1.72E-13,300,2001ATK/BAU1-56,
Toluene,,Combined,Aromatic,92.14,4,,6.48E-12,0,0,0,,,,
Trichloroethene,79-01-6,Combined,Halogenatic,131.39,0.64,,5.00E-13,,,-3700,2.23E-12,298,2001ATK/BAU1-56,
Trichlorofluoromethane,75-69-4,Combined,Halogenatic,137.36,0,fully halogenated,1.00E-12,,,30350,4.79E-18,298,2001ATK/BAU1-56,
cis-2-Pentene,627-20-3,Hydros,Alkene,70.13,10.38,,6.38E-11,0,0,0,,,,
"m,p-Tolualdehyde",104-87-0 (p) 620-23-5 (m),Carbonyls,Aldehyde,120.15,-0.59,in MIR10,,,,,2.75E-11,,EPA,
"m,p-Xylene",,Combined,Alkene,106.17,7.79,"9.75,5.84",1.66E-11,0,-115,-956.11,,,,
m-Cresol,108-39-4,Megamix,Hydroxyl,108.14,2.4,,5.16E-12,,,-5700,5.16E-11,298,1995SEM/STO287-304,
n-Butyl acetate,123-86-4,Extras,Ester,116.16,0.83,,2.09E-12,,,-2490,5.71E-12,298,1996ELB/LEC12364-12368,
n-Hexane,110-54-3,Combined,Alkane,86.18,1.24,,7.57E-12,1,112,931.168,,,,
o-Cresol,95-48-7,Megamix,Hydroxyl,108.14,2.4,,4.00E-11,,,,4.00E-11,300,1986ATK69,
o-Xylene,,Combined,Alkene,106.17,7.64,,1.47E-11,0,0,0,,,,
p-Cresol,106-44-5,Megamix,Hydroxyl,108.14,2.4,,,,,,4.40E-11,300,1986ATK69,
p-Cymene,99-87-6,Terpenes,Terpene,134.22,4.44,,2.00E-13,,,-10810,1.57E-11,298,2013ALA/STR20105-20114,
p-Isopropyl Toluene,,Combined,Aromatic,134.22,4.44,,2.00E-13,,,-10810,1.57E-11,298,2013ALA/STR20105-20114,
"trans-1,3-dichloropropene",10061-02-6,Combined,Halogenatic,110.97,5.03,,1.44E-11,,,,1.44E-11,298,1988TUA/ATK241,
(+)-3-Carene,,,,136.23,3.24,,,,,,,,,
(+)-Dihydrocarveol,,,,154.25,1.5,,,,,,,,,
2-Piperidinone,,,,99.13,1,,,,,,,,,
alpha-Phellandrene,,,,136.23,5,,,,,,,,,
alpha-Pinene,,,,136.23,5.41,,,,,,,,,
beta-Pinene,,,,136.23,3.52,,,,,,,,,
Camphene,,,,136.26,4.51,,,,,,,,,
gamma-Terpinene,,,,136.23,,,,,,,,,,
Geraniol,,,,172.26,5.12,,,,,,,,,
Ocimene,,,,136.24,5,,,,,,,,,
"Sabinene, natural",,,,136.23,4.19,,,,,,,,,
Terpinolene,,,,136.23,6.36,,,,,,,,,
1-Pentene,,,,70.13,7.21,,3.12E-11,0,0,0,,,,
Methyl acetylene + Propadiene,,,,40.06,7.58,"6.72, 8.45 take average",,,,,,,,
"1,8-Cineole",,,,154.25,2,,,,,,,,,
4-Methoxybenzyl alcohol,,,,138.16,1,,,,,,,,,
a-Hexylcinnamaldehyde,,,,216.32,1.25,,,,,,,,,
Benzyl benzoate,,,,212.24,,,,,,,,,,
Benzyl salicylate,,,,228.24,,,,,,,,,,
Camphor,,,,152.23,0.49,,,,,,,,,
Cinnamal,,,,216.32,2.96,Hexyl cinnamal  or amyl cinnamal ?,,,,0,,,,
Cinnamyl alcohol,,,,134.18,0.89,,,,,,,,,
Coumarin,,,,146.14,2,,,,,,,,,
D-Limonene,,,,136.23,4.55,,,,,,,,,
Lilial,,,,204.31,1,,,,,,,,,
Safrole,,,,162.19,2,,,,,,,,,
"1,1-Dichloropropene",563-58-6,,,110.97,4,,,,,,1.96E-11,,EPA,
"1,2-Dichloroethane",,,,98.96,0.21,,,,,,,,,
"1,3-Butadiene",106-99-0,,,54.09,12.61,,1.58E-11,,,-3625,6.82E-11,298,2006LI/NGU2698-2708,
2-Chlorotoluene,,,,126.58,2.92,,,,,,,,,
3-Chloropropene,107-05-1,,,76.52,12.22,,3.50E-12,,,-3941,1.72E-11,298,2003ALB/BAL2919-2926,
"Benzene, 1,3,5-trimethyl-",,,,120.19,11.76,,,,,,,,,
"Benzene, sec-Butyl-",,,,134.22,2.36,,,,,,,,,
"cis-1,2-Dichloroethene",,,,96.94,1.7,,,,,,,,,
"Ethene, Trans-1,2-dichloro-",,,,96.94,1.7,,,,,,,,,
"Methane, bromo-",,,,94.94,0.0187,,,,,,,,,
"Methane, dibromo-",,,,173.83,0,,,,,,,,,
"1-Propene, cis-1,3-dichloro-",10061-01-5,,,110.97,3.7,,8.45E-12,,,,8.45E-12,298,"	1988TUA/ATK241",
Bis(2-chlorethoxy)methane,111-91-1,Megamix,Halogenatic,173.038,1.5,based on methoxy methyl butanol plus chloros,2.46E-11,,,,2.46E-11,298,EPA,cm3/molecule*sec
"Ethane, 1,1,2,2-tetrachloro-",79-34-5,,,167.849,0.02,,2.72E-10,,,7633,2.30E-13,298,1992XIN/SHI1-10,
"Ethane, 1,1,2-trichloro-",79-00-5,,,133.4,0.086,,2.42E-13,1.6,,-665,3.17E-13,298,1991COH/WES1211-1311,
"Methane, bromochloro-",74-97-5,,,129.38,0.04,based on dichloromethane,2.31E-12,,,7732,1.02E-13,298,,
Isoprene,,,,68.12,10.61,,2.54E-11,,,-3401,1.00E-10,298,1986ATK69,
MVK,,,,70.09,9.65,,3.29E-12,,,-4274,1.85E-11,298,1986ATK69,
